DTC 	DTC Text
P000100 	Fuel Volume Regulator Control Circuit/Open
P000A00 	A Camshaft Position Slow Response (Bank 1)
P000B00 	B Camshaft Position Slow Response (Bank 1)
P000C00 	A Camshaft Position Slow Response (Bank 2)
P000D00 	B Camshaft Position Slow Response (Bank 2)
P001000 	A Camshaft Position Actuator Circuit/Open (Bank1)
P001100 	A Camshaft Position (Bank1) Timing over-advanced or System Performance
P001200 	A Camshaft Position (Bank1) Timing over-retarded
P001300 	B Camshaft Position Actuator Circuit/Open (Bank1)
P001400 	B Camshaft Position (Bank1) Timing over-advanced or System Performance
P001500 	B Camshaft Position (Bank1) Timing over-retarded
P001600 	Crankshaft Position-Camshaft Position Correlation Bank 1 Sensor A
P001700 	Crankshaft Position-Camshaft Position Correlation Bank 1 Sensor B
P001800 	Crankshaft Position-Camshaft Position Correlation Bank 2 Sensor A
P001900 	Crankshaft Position-Camshaft Position Correlation Bank 2 Sensor B
P002000 	A Camshaft Position ActuatorCircuit(Bank2)
P002100 	A Camshaft Position (Bank2) Timing over-advanced or System Performance
P002200 	A Camshaft Position (Bank2) Timing over-retarded
P002300 	B Camshaft Position Actuator Circuit(Bank2)
P002400 	B Camshaft Position (Bank2) Timing over-advanced or System Performance
P002500 	B Camshaft Position (Bank2) Timing over-retarded
P003000 	O2 Sensor Heater Contr. Circ.(Bank1(1)Sensor 1)
P003100 	O2 Sensor Heater Contr. Circ.(Bank1(1)Sensor 1) Low
P003200 	O2 Sensor Heater Contr. Circ.(Bank1(1)Sensor 1) High
P003300 	Turbo Charger Bypass Valve Control Circuit
P003400 	Turbo Charger Bypass Valve Control Circuit Low
P003500 	Turbo Charger Bypass Valve Control Circuit High
P003600 	O2 Sensor Heater Contr. Circ.(Bank1(1)Sensor 2)
P003700 	O2 Sensor Heater Contr. Circ.(Bank1(1)Sensor 2) Low
P003800 	O2 Sensor Heater Contr. Circ.(Bank1(1)Sensor 2) High
P003900 	Turbo/Super Charger Bypass Valve Control Circuit Range/Performance
P004000 	O2 Sensor Signals Swapped Bank 1 Sensor 1/ Bank 2 Sensor 1
P004100 	O2 Sensor Signals Swapped Bank 1 Sensor 2/ Bank 2 Sensor 2
P004200 	O2 Sensor Heater Contr. Circ.(Bank1(1)Sensor 3)
P004300 	O2 Sensor Heater Contr. Circ.(Bank1(1)Sensor 3) Low
P004400 	O2 Sensor Heater Contr. Circ.(Bank1(1)Sensor 3) High
P004500 	Turbocharger/Supercharger Boost Control Solenoid "A" Circuit/Open
P004700 	Turbocharger/Supercharger Boost Control Solenoid "A" Circuit Low
P004800 	Turbocharger/Supercharger Boost Control Solenoid "A" Circuit High
P004900 	Turbocharger/Supercharger Turbine Overspeed
P004A00 	Turbocharger/Supercharger Boost Control Solenoid "B" Circuit / Open
P004C00 	Turbocharger/Supercharger Boost Control Solenoid "B" Circuit Low
P004D00 	Turbocharger/Supercharger Boost Control Solenoid "B" Circuit High
P005000 	O2 Sensor Heater Contr. Circ.(Bank2 Sensor 1)
P005100 	O2 Sensor Heater Contr. Circ.(Bank2 Sensor 1) Low
P005200 	O2 Sensor Heater Contr. Circ.(Bank2 Sensor1) High
P005600 	O2 Sensor Heater Contr. Circ.(Bank2 Sensor 2)
P005700 	O2 Sensor Heater Contr. Circ.(Bank2 Sensor 2) Low
P005800 	O2 Sensor Heater Contr. Circ.(Bank2 Sensor2) High
P006200 	HO2S Heater Control Circuit
P006300 	HO2S Heater Control Circuit Low
P006400 	HO2S Heater Control Circuit High Bank2 Sensor3
P006500 	Air Assisted Injector Control Range/Performance
P006600 	Air Assisted Injector Control Circuit low
P006700 	Air Assisted Injector Control Circuit high
P006800 	MAP/MAF - Throttle Position Correlation
P006900 	Manifold Absolute Pressure - Barometric Pressure Correlation
P007000 	Ambient Air Temperature Sensor Circuit
P007100 	Ambient Air Temperature Sensor Circuit Range/Performance
P007200 	Ambient Air Temperature Sensor Circuit Low
P007300 	Ambient Air Temperature Sensor Circuit High
P007400 	Ambient Air Temperature Sensor Circuit Intermittent
P007C00 	Charge Air Cooler Temperature Sensor Circuit Low Bank 1
P007D00 	Charge Air Cooler Temperature Sensor Circuit High Bank 1
P008700 	Fuel Rail/System Pressure - Too Low
P008800 	Fuel Rail/System Pressure - Too High
P008900 	Fuel Pressure Regulator 1 Performance
P008A00 	Low Pressure Fuel System Pressure - Too Low
P008B00 	Low Pressure Fuel System Pressure - Too High
P009000 	Fuel Pressure Regulator 1Control Circuit
P009100 	Fuel Pressure Regulator 1 Control Circuit Low
P009200 	Fuel Pressure Regulator 1 Control Circuit High
P009500 	Intake Air Temperature Sensor 2 Circuit
P009600 	Intake Air Temperature Sensor 2 Circuit Bank 1 Range/Performance
P009700 	Intake Air Temperature Sensor 2 Circuit Low
P009800 	Intake Air Temperature Sensor 2 Circuit High
P009900 	Intake Air Temperature Sensor 2 Circuit Intermittent/Erratic
P009B00 	Fuel Pressure Relief Control Circuit/Open
P009C00 	Fuel Pressure Relief Control Circuit Low
P009D00 	Fuel Pressure Relief Control Circuit High
P009E00 	Fuel Pressure Relief Control Performance/Stuck Off
P009F00 	Fuel Pressure Relief Control Stuck on
P00A200 	Charge Air Cooler Temperature Sensor Circuit Low Bank 2
P00A300 	Charge Air Cooler Temperature Sensor Circuit High Bank 2
P00A600 	Intake Air Temperature Sensor 2 Circuit Bank 2 Range/Performance
P00AF00 	Turbocharger/Supercharger Boost Control "A" Module Performance
P00B000 	Turbocharger/Supercharger Boost Control "B" Module Performance
P00C600 	Fuel Rail Pressure Too Low - Engine Cranking
P010000 	Mass or Volume Air Flow Circuit
P010100 	Mass or Volume Air Flow Circ. Range/Performance
P010200 	Mass or Volume Air Flow Circ. Low Input
